iter	RMSE
0	174.0677918
1	160.4543533
2	148.4461976
3	137.8430916
4	128.3813838
5	119.9925181
6	112.5505513
7	106.2102189
8	100.5878998
9	95.88939484
10	91.73829322
11	88.02088928
12	84.9283459
13	82.18471717
14	79.76995375
15	77.44488106
16	75.48562385
17	73.81489487
18	72.38039496
19	71.12806093
20	70.04258269
21	69.04416521
22	68.25750354
23	67.53005279
24	66.63023542
25	65.95042159
26	65.40972627
27	64.90047745
28	64.51383358
29	64.04002012
30	63.68726986
31	63.38060764
32	63.05399191
33	62.80509904
34	62.5527485
35	62.26498521
36	62.08529581
37	61.85313923
38	61.62186765
39	61.41981577
40	61.09068959
41	60.92961825
42	60.73986061
43	60.61036238
44	60.3453753
45	60.17977416
46	60.05675163
47	59.89733277
48	59.6902424
49	59.51024172
