iter	Passed	Remaining
0	432	21216
1	473	11361
2	510	7995
3	555	6391
4	587	5288
5	617	4525
6	652	4009
7	686	3606
8	725	3306
9	770	3083
10	816	2893
11	879	2786
12	925	2633
13	964	2479
14	1001	2337
15	1050	2232
16	1092	2120
17	1127	2005
18	1160	1893
19	1194	1791
20	1239	1711
21	1301	1656
22	1340	1574
23	1399	1515
24	1439	1439
25	1474	1360
26	1515	1291
27	1552	1220
28	1588	1150
29	1621	1081
30	1657	1015
31	1695	953
32	1737	894
33	1776	835
34	1816	778
35	1865	725
36	1908	670
37	1957	618
38	2003	565
39	2037	509
40	2075	455
41	2108	401
42	2136	347
43	2177	296
44	2210	245
45	2236	194
46	2262	144
47	2291	95
48	2328	47
49	2380	0
